INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM,VEHICLE AGE,PREMIUM RATE,VEHICLE AGE BAND,LOG POLICY PREMIUM
Comprehensive,Car,Private,Toyota,Prius,2011,6495000.0,88691.98,14,0.0136554241724403,13+ Years,11.392936021986428
Third Party,Bike,Private,Honda,CBR,2004,1050000.0,1200.0,21,0.0011428571428571,13+ Years,7.0909098220799835
Comprehensive,Car,Private,Nissan,Sunny,1999,2450000.0,35266.26,26,0.0143943918367346,13+ Years,10.4707103337933
Third Party,Car,Private,Ford,Ranger XLT,2018,24000000.0,3500.0,7,0.0001458333333333,4-7 Years,8.160803920954665
Comprehensive,Truck,Private,Tata,Dimo Batta,2013,1800000.0,35278.05,12,0.0195989166666666,8-12 Years,10.471044582320536
Third Party,Three wheeler,Private,Bajaj,RE 2014,2014,1165000.0,2160.0,11,0.0018540772532188,8-12 Years,7.6783263565068856
Third Party,Three wheeler,Private,Bajaj,RE 4 stroke,2012,1050000.0,2160.0,13,0.0020571428571428,13+ Years,7.6783263565068856
Comprehensive,Bike,Private,Hero,Karizma,2016,550000.0,18370.0,9,0.0334,8-12 Years,9.818528613308937
Comprehensive,Car,Private,Honda,Fit,2012,7150000.0,97342.67,13,0.0136143594405594,13+ Years,11.486002985573771
Comprehensive,Car,Private,Honda,CRV,2018,24000000.0,319891.21,7,0.0133288004166666,4-7 Years,12.67573937428131
Comprehensive,Bike,Private,Honda,Dio,2012,345000.0,15021.0,13,0.0435391304347826,13+ Years,9.617271072245957
Comprehensive,Car,Private,Toyota,Aqua,2014,7775000.0,105597.47,11,0.0135816681672025,8-12 Years,11.567399161512974
Comprehensive,Bike,Private,Yamaha,R15,2019,1280000.0,42752.0,6,0.0334,4-7 Years,10.663194647341323
Comprehensive,Bike,Private,Bajaj,Platina,2007,215000.0,7181.0,18,0.0334,13+ Years,8.879333174786028
Comprehensive,Car,Private,Toyota,CHR,2018,15975000.0,213900.53,7,0.0133897045383411,4-7 Years,12.27327104792009
Comprehensive,Car,Private,Honda,Grace,2017,11700000.0,157437.62,8,0.0134562068376068,8-12 Years,11.966790947003762
Comprehensive,Car,Private,Jaguar,S-Type,2007,8800000.0,119134.85,18,0.0135380511363636,13+ Years,11.68801971760638
Comprehensive,van,Private,Toyota,Townace,1996,4590000.0,63530.71,29,0.0138411132897603,13+ Years,11.059294430315779
Comprehensive,Car,Private,Suzuki,Wagon R,2018,5990000.0,82021.77,7,0.0136931168614357,4-7 Years,11.314752170626452
Comprehensive,Car,Private,Toyota,Corolla 110,1997,3775000.0,52766.58,28,0.0139779019867549,13+ Years,10.873652265958334
Comprehensive,Car,Private,Nissan,X-Trail,2011,11600000.0,156116.97,14,0.0134583594827586,13+ Years,11.958367218391668
Comprehensive,Car,Private,Suzuki,Alto Sport,2007,2265000.0,32822.91,18,0.0144913509933774,13+ Years,10.39891249222209
Comprehensive,Car,Private,Toyota,CHR,2019,16990000.0,227305.95,6,0.0133788081224249,4-7 Years,12.334056585704028
Comprehensive,Car,Private,Honda,Vezel RS,2018,15700000.0,210268.5,7,0.0133928980891719,4-7 Years,12.256145320264565
Comprehensive,Car,Private,Honda,CRV,2015,19000000.0,253852.85,10,0.0133606763157894,8-12 Years,12.444513986697403
Comprehensive,Car,Private,BMW,X1,2018,22500000.0,300080.5,7,0.0133369111111111,4-7 Years,12.611809383410298
Comprehensive,Car,Private,Mitsubishi,Montero,2001,11950000.0,160739.73,24,0.0134510234309623,13+ Years,11.98754797325198
Comprehensive,Car,Private,BMW,420i COUPE SPORT,2017,37500000.0,498194.57,8,0.0132851885333333,8-12 Years,13.118747989759443
Comprehensive,Car,Private,suzuki,Alto,2017,5425000.0,74559.76,8,0.0137437345622119,8-12 Years,11.21936964244057
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2010,34800000.0,462534.1,15,0.0132912097701149,13+ Years,13.044477724946864
Comprehensive,Car,Private,Toyota,Corolla,1984,850000.0,14133.91,41,0.0166281294117647,13+ Years,9.556402902933737
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2003,14500000.0,194418.73,22,0.013408188275862,13+ Years,12.177774657628081
Comprehensive,Car,Private,Toyota,Allion,2014,12875000.0,172956.47,11,0.0134335122330097,8-12 Years,12.060801005106475
Comprehensive,Car,Private,Mercedes Benz,C200,2019,31000000.0,412345.51,6,0.0133014680645161,4-7 Years,12.92961931854192
Comprehensive,Car,Private,Mitsubishi,Lancer,1980,650000.0,11492.61,45,0.0176809384615384,13+ Years,9.349546507745549
Comprehensive,Car,Private,Suzuki,Alto,2015,2800000.0,39889.02,10,0.0142460785714285,8-12 Years,10.593881446278118
Comprehensive,Car,Private,Toyota,Aqua,2013,7950000.0,107908.85,12,0.0135734402515723,8-12 Years,11.589051435309552
Comprehensive,Car,Private,Mitsubishi,Outlander,2014,14000000.0,187815.5,11,0.0134153928571428,8-12 Years,12.143220701321807
Comprehensive,Car,Private,Toyota,CHR,2017,15200000.0,203664.26,8,0.0133989644736842,8-12 Years,12.224233042751461
Comprehensive,Car,Private,Toyota,Premio,2013,13200000.0,177249.32,12,0.0134279787878787,8-12 Years,12.085318249752406
Comprehensive,Car,Private,Ford,Ranger,2016,29500000.0,392533.8,9,0.0133062305084745,8-12 Years,12.880380474694702
Comprehensive,Car,Private,Toyota,Prius,2012,8900000.0,120455.5,13,0.0135343258426966,13+ Years,11.699043970887537
Comprehensive,Car,Private,Honda,Vezel,2015,11250000.0,151494.2,10,0.0134661511111111,8-12 Years,11.928309220261323
Comprehensive,Three wheeler,Private,Bajaj,RE,2008,750000.0,16748.91,17,0.02233188,13+ Years,9.72614816410445
Comprehensive,Car,Private,Toyota,Premio,2017,17900000.0,239324.74,8,0.0133700972067039,8-12 Years,12.385580831839441
